word,atom_id,embedding_score,a1_cosine,a1_margin,a1_l2,top2_atom,focus_rate
superficial,PRP.shallow,0.3222,0.892589,0.202739,5.409728,WLD.artless,0.9835
historical,FND.ahistorical,0.4726,0.786759,0.154049,9.104832,PRP.easy,0.6404
unchanged,FND.ahistorical,0.6319,0.934574,0.146752,5.04672,FND.timeless,0.7239
unaltered,FND.ahistorical,0.6319,0.927528,0.138527,5.467903,FND.numberless,0.6189
daybreak,ELM.morning,0.5935,0.91224,0.132501,13.649404,ELM.sun,0.5544
death,EXS.death,0.5756,0.93936,0.13209,9.573003,ACT.destroy,0.4966
dateless,FND.unchanging,0.3706,0.836909,0.131174,8.300404,FND.numberless,0.6199
dayspring,ELM.morning,0.5935,0.891955,0.130224,16.602833,ELM.sun,0.4356
data,FND.information,0.5757,0.871682,0.129235,6.043894,FND.history,0.9819
come along,TIM.appear,0.4075,0.849376,0.127872,7.99559,TIM.come,0.6095
ahistorical,FND.ahistorical,0.5068,0.93223,0.125747,5.200078,FND.numberless,0.7715
dawn,ELM.morning,0.6333,0.845591,0.116572,14.16831,ELM.sun,0.4956
decease,EXS.death,0.4715,0.96089,0.116434,8.825178,PRP.impossible,0.5002
break of the day,ELM.morning,0.5935,0.898353,0.115284,15.154341,ELM.sun,0.3554
emerge,TIM.appear,0.467,0.899961,0.114221,8.524992,PRP.new,0.6118
issue,LOG.effect,0.5024,0.562965,0.112623,11.063881,CHG.advance,0.5785
expiry,EXS.death,0.4715,0.941489,0.112406,9.043247,ACT.destroy,0.5183
unclouded,PRP.clear,0.3531,0.932532,0.108369,5.027918,PRP.sharp,0.518
manifest,PRP.clear,0.3666,0.885763,0.108005,6.179729,PRP.short,0.5251
sunup,ELM.morning,0.5935,0.802012,0.1058,9.355406,TIM.appear,0.5967
appear,TIM.appear,0.4091,0.85333,0.105168,9.743175,PRP.shallow,0.6325
lucid,PRP.clear,0.488,0.947408,0.105078,7.068365,PRP.short,0.6258
enquiry,COM.question,0.5949,0.916108,0.105063,9.202396,COG.learn,0.7082
static,FND.unchanging,0.456,0.913667,0.102103,5.490601,COG.instinct,0.6869
continuous,FND.time,0.4403,0.894462,0.10128,10.681474,FND.temporality,0.5308
phase,TIM.period,0.5042,0.811005,0.100685,10.208288,CHG.end,0.4696
alone,REL.alone,0.6273,0.964077,0.098848,5.572552,PRP.single,0.6248
interior,SPC.inside,0.465,0.925581,0.097108,8.868343,PRP.whole,0.6125
mortification,EXS.death,0.4356,0.964795,0.096629,5.563518,PRP.impossible,0.4243
point,FND.transformation,0.4348,0.790033,0.094869,9.859426,CHG.end,0.7501
take in,ACT.receive,0.4773,0.902453,0.094349,4.365541,TIM.come,0.3239
tongueless,FND.languageless,0.4052,0.865478,0.093989,5.442687,EXS.being,0.3444
hunch,FND.intuition,0.5075,0.918929,0.093762,6.293443,COG.instinct,0.5771
unexampled,PRP.new,0.3928,0.68453,0.091475,11.503942,TIM.appear,0.7118
time period,TIM.period,0.369,0.787003,0.091149,6.719656,FND.temporality,0.3245
culmination,CHG.end,0.6301,0.844488,0.090959,7.373795,FND.transformation,0.496
defunctness,EXS.death,0.4176,0.969824,0.09082,7.621723,EMO.despair,0.5294
datum,FND.information,0.6142,0.967959,0.090642,3.206515,FND.uninformed,0.9685
night,ELM.night,0.7902,0.804236,0.089979,6.277902,ELM.moon,0.7096
feeling,FND.intuition,0.5657,0.90301,0.089178,12.198152,FND.languageless,0.4319
close,PRP.near,0.6043,0.90184,0.088594,6.748594,TIM.come,0.8837
info,FND.information,0.4623,0.934311,0.088397,4.544459,FND.history,0.9312
limpid,PRP.clear,0.488,0.875741,0.088377,7.355144,PRP.short,0.533
warfare,STA.war,0.6432,0.94526,0.087595,9.791596,SOC.attack,0.6029
first light,ELM.morning,0.5935,0.803837,0.086525,11.559005,TIM.appear,0.526
solitary,REL.alone,0.5599,0.98059,0.086328,4.470645,PRP.single,0.6399
internal,SPC.inside,0.5211,0.875898,0.085881,5.843586,CHG.stay,0.7844
break of day,ELM.morning,0.5935,0.88292,0.085745,10.914776,ELM.night,0.6143
impossible,PRP.impossible,0.6144,0.838495,0.083637,7.494421,VAL.sacred,0.5947
side by side,PRP.near,0.5402,0.908802,0.082794,6.727392,PRP.far,0.8128
dawning,ELM.morning,0.5935,0.779175,0.081781,9.800274,ELM.night,0.5618
clear,PRP.clear,0.5559,0.936932,0.081175,5.729347,PRP.short,0.628
nighttime,ELM.night,0.7902,0.771102,0.080768,10.634673,ELM.moon,0.5328
burst,ELM.fire,0.4094,0.883708,0.079498,12.45322,ACT.agitate,0.5945
uneven,PRP.rough,0.698,0.936022,0.079077,5.039711,PRP.narrow,0.7947
surface,PRP.shallow,0.5101,0.915857,0.075462,7.719466,PRP.rough,0.7403
pellucidity,PRP.clear,0.5211,0.923053,0.070138,4.853111,PRP.short,0.4648
disintegrate,CHG.decay,0.4008,0.959701,0.070136,5.026832,ACT.destroy,0.7844
foster,BEI.parent,0.5059,0.913811,0.068755,7.60158,EMO.love,0.4536
skirmish,STA.war,0.342,0.839269,0.066403,7.409257,SOC.obstruct,0.7187
falsification,VAL.falsehood,0.6895,0.938215,0.066282,4.366969,VAL.incorrect,0.3519
clearness,PRP.clear,0.5211,0.956308,0.065986,6.678184,VAL.correct,0.5628
intuition,FND.intuition,0.5075,0.959387,0.065947,4.504989,EXS.spirit,0.5275
obliteration,ACT.destroy,0.3805,0.926373,0.065794,12.262784,STA.poverty,0.4026
beginning,CHG.begin,0.5213,0.898991,0.065595,9.081344,ACT.create,0.5614
unprecedented,PRP.new,0.4934,0.756127,0.065269,12.204628,ACT.create,0.6591
shift,FND.transformation,0.5314,0.80212,0.065112,10.56786,CHG.end,0.6547
citizenship,SOC.citizen,0.6625,0.935932,0.064766,10.816043,ABS.exempt,0.4822
get going,CHG.begin,0.4525,0.906314,0.064696,7.46616,ACT.create,0.6163
hallowed,VAL.sacred,0.4375,0.97369,0.064619,4.094443,WLD.religion,0.7069
pellucid,PRP.clear,0.488,0.937398,0.064592,6.582204,ELM.sky,0.5422
crystal clear,PRP.clear,0.488,0.94737,0.064523,6.18708,ELM.star,0.5045
unbounded,FND.numberless,0.4621,0.884835,0.064008,10.034581,VAL.sacred,0.5398
innate,COG.instinct,0.4658,0.937149,0.063897,6.746333,FND.unchanging,0.49
village,SOC.village,0.6523,0.943162,0.063554,5.525496,SPC.inside,0.439
hip joint,BOD.hip,0.5988,0.972227,0.063045,4.644141,ABS.bound,0.6637
myriad,FND.numberless,0.4389,0.895389,0.062947,5.583106,PRP.clear,0.5688
confederation,COM.cooperate,0.4628,0.838087,0.06228,8.745182,REL.together,0.3987
misrepresent,VAL.falsehood,0.5093,0.931747,0.062195,4.782598,VAL.incorrect,0.5654
young,PRP.young,0.6094,0.920209,0.061429,8.110826,PRP.new,0.4613
wearing away,CHG.decay,0.4218,0.781713,0.061398,13.335349,ACT.destroy,0.6046
wind,ELM.wind,0.5716,0.810597,0.061385,10.871833,NAT.river,0.7239
intuitive feeling,FND.intuition,0.5657,0.968926,0.060279,7.622822,COG.enlightenment,0.5726
sunrise,ELM.morning,0.5935,0.816607,0.059717,15.175844,ELM.night,0.3928
household,SOC.family,0.4049,0.760958,0.059118,9.053032,SOC.citizen,0.7208
young,PRP.new,0.3127,0.838037,0.058602,13.648424,CHG.begin,0.5617
transparent,PRP.clear,0.6136,0.722376,0.058597,8.003292,NAT.sea,0.5167
open,PRP.clear,0.388,0.882952,0.058223,5.621222,ELM.sky,0.4896
war,STA.war,0.6432,0.885543,0.057707,10.37374,SOC.attack,0.4319
distinct,REL.different,0.5922,0.856339,0.057697,8.635346,SOC.defend,0.8332
agricultural,SOC.village,0.5816,0.853554,0.05748,10.427421,WLD.realm,0.4103
lead off,CHG.begin,0.4993,0.919876,0.057377,6.530898,ACT.make,0.8023
remote,PRP.far,0.5489,0.862742,0.057305,5.583246,PRP.blunt,0.4044
infiniteness,FND.numberless,0.7098,0.915335,0.056973,5.141201,FND.ahistorical,0.4376
unspoken,FND.languageless,0.4052,0.842628,0.056897,5.889114,EXS.being,0.3035
have,ACT.receive,0.4844,0.902277,0.055908,6.197351,TIM.come,0.5198
command,SOC.official,0.6066,0.871702,0.055657,5.73997,SOC.citizen,0.4708
embark on,CHG.begin,0.3974,0.854066,0.055233,7.374273,PRP.new,0.558
tooth root,BEI.root,0.3071,0.887194,0.054836,15.033823,BOD.hip,0.4697
interrogative,COM.question,0.5538,0.926722,0.054833,4.300662,COG.learn,0.3362
windy,ELM.wind,0.6011,0.845275,0.054508,6.742657,ELM.water,0.8061
falsify,VAL.falsehood,0.5093,0.941577,0.053973,4.415083,SOC.criticize,0.3126
break,ACT.destroy,0.5249,0.924812,0.053359,12.931938,STA.poverty,0.3991
quest,SOC.request,0.3645,0.784432,0.052897,8.794963,BEI.parent,0.8176
deception,VAL.falsehood,0.758,0.950467,0.052072,3.754809,VAL.incorrect,0.4081
transformation,FND.transformation,0.5314,0.859709,0.051672,9.151934,CHG.end,0.6821
adjacent,PRP.near,0.5402,0.797696,0.051549,11.44787,REL.different,0.5848
wound,STA.wound,0.7802,0.911771,0.051271,9.828139,STA.pain,0.4645
articulatio coxae,BOD.hip,0.5988,0.942589,0.050232,8.750317,PRP.part,0.5661
lie,VAL.falsehood,0.645,0.919957,0.050169,5.141655,SOC.criticize,0.3455
start out,CHG.begin,0.494,0.950398,0.049863,6.436254,PRP.young,0.8033
very,REL.same,0.3515,0.890902,0.049351,4.636921,COM.cooperate,0.8717
indistinguishability,REL.same,0.5322,0.888723,0.04912,9.535219,SOC.family,0.6818
begin,CHG.begin,0.5334,0.829429,0.048906,8.507638,PRP.new,0.9339
dilapidate,CHG.decay,0.6229,0.915643,0.048697,6.702633,ACT.destroy,0.6276
res publica,SOC.nation,0.4879,0.875809,0.048158,15.117575,WLD.realm,0.4467
language,FND.language,0.5894,0.941212,0.048,13.379799,FND.history,0.5064
land,ELM.earth,0.6677,0.914093,0.047708,4.558989,ELM.water,0.9547
acculturation,WLD.culture,0.4961,0.893515,0.047649,14.200297,SOC.nation,0.3483
attack,SOC.attack,0.6168,0.927003,0.047574,7.139873,STA.war,0.5483
agitate,ACT.agitate,0.5961,0.855051,0.046982,10.966831,ACT.dissolve,0.4222
physical,FND.body,0.5088,0.89655,0.046765,10.55758,EXS.death,0.4728
forge,VAL.falsehood,0.4674,0.863015,0.046199,6.427275,VAL.incorrect,0.3575
difference,REL.different,0.4252,0.881035,0.046191,6.356722,ECO.pay,0.5097
laic,VAL.profane,0.322,0.849832,0.046001,5.591559,SOC.attack,0.3665
period of time,TIM.period,0.369,0.825039,0.045938,5.639762,FND.time,0.3107
deceive,VAL.falsehood,0.6953,0.924187,0.045805,6.023428,SOC.criticize,0.4298
perpetual,FND.timeless,0.5339,0.991069,0.045648,7.399425,FND.ahistorical,0.4319
relative,SOC.family,0.3986,0.931453,0.045435,8.706744,SOC.citizen,0.809
question,COM.question,0.5949,0.889638,0.045413,5.09362,COM.secret,0.3949
receive,ACT.receive,0.4844,0.847388,0.045283,5.875225,SPC.inside,0.8637
disintegration,CHG.decay,0.539,0.926227,0.045224,7.415375,ACT.destroy,0.6851
event,LOG.effect,0.5024,0.806646,0.045087,8.402437,COM.conduct,0.65
consequence,LOG.effect,0.5024,0.860096,0.044782,9.990681,CHG.end,0.566
constant,FND.unchanging,0.555,0.835082,0.044687,9.277034,FND.numberless,0.711
unlearned,COG.instinct,0.4658,0.87877,0.044672,10.667864,PRP.single,0.5832
sixth sense,FND.intuition,0.5744,0.933237,0.044567,7.069825,FND.consciousness,0.6583
